var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var2(t),var4(t),var6(t)
0.34231776,0.7558831,0.5102333,0.6162958,0.7146107,0.5964194,0.7558831,0.6162958,0.5964194
0.373326,0.7558831,0.5206057,0.6162958,0.7311541,0.5964194,0.51346034,0.60442024,0.6582501
0.36424094,0.51346034,0.5297805,0.60442024,0.76013136,0.6582501,0.59920317,0.44135827,0.44797814
0.36961526,0.59920317,0.52064586,0.44135827,0.7471647,0.44797814,0.49632418,0.64103085,0.43123004
0.3576725,0.49632418,0.53391016,0.64103085,0.7309419,0.43123004,0.75367236,0.7173275,0.72748554
0.388766,0.75367236,0.5560378,0.7173275,0.77365184,0.72748554,0.5746223,0.47218466,0.449972
0.39004558,0.5746223,0.55020964,0.47218466,0.7609879,0.449972,0.40751505,0.35146067,0.23092562
0.36262017,0.40751505,0.530465,0.35146067,0.7041782,0.23092562,0.6244627,0.643954,0.6428534
0.372217,0.6244627,0.54421365,0.643954,0.72968245,0.6428534,0.547983,0.34859818,0.47897542
0.36897546,0.547983,0.52427566,0.34859818,0.72309303,0.47897542,0.5570385,0.46203238,0.5616089
0.36726922,0.5570385,0.51751876,0.46203238,0.7328471,0.5616089,0.58187073,0.6824825,0.6159529
0.36974305,0.58187073,0.53534675,0.6824825,0.75345254,0.6159529,0.54161483,0.49539202,0.4036995
0.3654353,0.54161483,0.5322925,0.49539202,0.73163366,0.4036995,0.48893666,0.6530471,0.50945497
0.35229844,0.48893666,0.54710007,0.6530471,0.73108613,0.50945497,0.43910965,0.1873225,0.2790262
0.3310576,0.43910965,0.50851953,0.1873225,0.6848177,0.2790262,0.6206948,0.5450751,0.5898954
0.3397587,0.6206948,0.5110301,0.5450751,0.6998049,0.5898954,0.508355,0.37172157,0.39916095
0.3301192,0.508355,0.49440643,0.37172157,0.67779267,0.39916095,0.5858124,0.4293599,0.5549972
0.3331476,0.5858124,0.4843512,0.4293599,0.6860113,0.5549972,0.5051005,0.34395903,0.21135864
0.32303888,0.5051005,0.4652901,0.34395903,0.6279247,0.21135864,0.51216036,0.47748798,0.22979581
0.31416732,0.51216036,0.46061572,0.47748798,0.575343,0.22979581,0.57249975,0.5129592,0.36724225
0.31502038,0.57249975,0.45964953,0.5129592,0.54925585,0.36724225,0.7052217,0.50704086,0.48613262
0.33711416,0.7052217,0.45807126,0.50704086,0.5446433,0.48613262,0.63238454,0.7061231,0.76653874
0.3477772,0.63238454,0.47708657,0.7061231,0.5894828,0.76653874,0.5121592,0.37005925,0.24154893
0.33869237,0.5121592,0.46096155,0.37005925,0.54032326,0.24154893,0.32387158,0.25272837,0.21267605
